,down,yardsToGo,possessionTeam,yardlineSide,absoluteYardlineNumber,avg_def_speed,std_def_acc,def_players_near_los,avg_def_spacing,avg_olb_orientation,avg_olb_motion_angle,avg_ilb_orientation,avg_ilb_motion_angle,avg_mlb_orientation,avg_mlb_motion_angle,avg_lb_orientation,avg_lb_motion_angle,avg_cb_orientation,avg_cb_motion_angle,avg_ss_orientation,avg_ss_motion_angle,avg_fs_orientation,avg_fs_motion_angle,successfulBlitz
59,1,10,CIN,MIA,61,0.5606365740740741,0.4993200170659919,9.0,8.23761132095477,239.6742361111111,208.2554861111111,276.8530902777777,173.6627777777778,0.0,0.0,0.0,0.0,265.4990509259259,169.7625925925926,269.57208333333335,150.92357638888888,0.0,0.0,0
65,1,10,WAS,DET,97,,,,,,,,,,,,,,,,,,,1
67,2,7,TEN,IND,102,0.5423646723510873,0.4397816037806695,10.0,8.284194545363246,284.8310256410257,153.22017094017096,0.0,0.0,284.92846153846153,160.6318803418804,0.0,0.0,267.21954415954417,217.35509971509973,0.0,0.0,271.44482905982903,173.71128205128207,0
69,1,10,DET,DET,101,,,,,,,,,,,,,,,,,,,0
74,1,10,IND,HOU,81,0.8982854406002525,0.4343107838792609,11.0,6.781828436992836,241.60988505747127,140.98310344827584,286.1162068965517,179.16655172413792,0.0,0.0,0.0,0.0,244.9967432950192,111.51578544061304,252.86517241379312,101.01160919540229,259.40068965517247,156.0271264367816,0
77,1,10,JAX,HOU,91,0.3936111111086275,0.3982270765200208,9.0,7.798917882653129,271.9406666666667,171.268,65.596,193.128,0.0,0.0,0.0,0.0,241.2115555555555,180.62533333333332,237.3786666666667,62.82866666666667,329.38,198.71066666666667,0
82,1,10,ARI,ARI,99,,,,,,,,,,,,,,,,,,,0
90,3,3,PIT,PIT,97,,,,,,,,,,,,,,,,,,,1
93,1,10,NYJ,NYJ,91,,,,,,,,,,,,,,,,,,,0
96,1,10,DEN,DEN,75,0.655959119497324,0.4540763026154013,9.0,7.5378200248089,82.2282075471698,125.2385849056604,0.0,0.0,110.50311320754716,177.53481132075473,0.0,0.0,120.36556603773585,174.36476415094342,0.0,0.0,102.76433962264151,234.3260849056604,1
101,3,11,ATL,SEA,81,,,,,,,,,,,,,,,,,,,1
107,2,11,CAR,CLE,95,0.5752466666037839,0.5108835005716623,11.0,6.673876171868494,226.2076,205.0422933333333,0.0,0.0,255.36287999999996,158.92064000000002,0.0,0.0,259.4601200000001,194.89508,222.83747999999997,164.73244,0.0,0.0,1
108,3,1,CIN,BAL,79,0.427542270531401,0.50209909439382,11.0,9.14749372201689,241.3497101449275,215.38449275362316,259.4952173913044,192.0768115942029,0.0,0.0,0.0,0.0,257.76594202898553,181.49190821256036,285.11355072463766,198.14166666666665,0.0,0.0,0
111,2,10,KC,TB,100,0.5761270491803279,0.4424156629985716,7.0,9.465059052050783,286.17610655737707,222.1631967213115,274.770368852459,185.05663934426232,0.0,0.0,0.0,0.0,246.10713114754097,129.52385245901638,0.0,0.0,235.67289617486335,186.15997267759565,0
114,3,1,WAS,WAS,74,0.7043482905982906,0.552803031322441,10.0,6.628028380786454,106.5426923076923,146.09948717948717,105.0652564102564,180.59929487179488,0.0,0.0,0.0,0.0,54.67096153846154,67.12307692307692,95.86615384615384,215.86256410256408,0.0,0.0,0
115,2,6,LV,LV,86,0.6348046875000001,0.5091936905875151,9.0,8.4530727624566,99.029609375,152.581796875,89.27964843750001,203.73484375,0.0,0.0,0.0,0.0,111.825,216.69575520833337,95.953984375,249.09375,0.0,0.0,0
117,1,10,DAL,NYG,73,,,,,,,,,,,,,,,,,,,0
118,1,10,DET,PHI,87,0.4389880952380952,0.4341219292121543,8.0,9.78711784988806,265.5590816326531,118.51086734693878,269.2660204081633,197.04107142857143,0.0,0.0,0.0,0.0,272.06008503401364,149.82632653061225,280.8320408163265,155.22561224489797,0.0,0.0,1
123,1,10,BUF,BUF,88,0.3775496031746032,0.4090842902802809,9.0,11.435568811139596,61.05005952380952,130.50309523809523,96.08511904761905,71.15416666666667,0.0,0.0,0.0,0.0,119.75291666666668,190.4735119047619,81.68380952380953,51.57833333333334,88.70416666666667,164.75982142857143,1
128,3,2,GB,GB,101,,,,,,,,,,,,,,,,,,,0
131,1,10,KC,KC,63,0.3904455445221819,0.4792031989984399,8.0,9.00773477541984,0.0,0.0,81.18198019801982,174.77831683168318,81.76019801980196,123.42376237623762,0.0,0.0,122.28874587458748,150.35376237623765,57.871386138613865,113.0321782178218,104.80871287128716,163.339702970297,0
135,3,7,GB,GB,62,0.935823529350261,0.3400924006177647,7.0,9.029319399396869,100.35264705882354,186.7355294117647,79.49817647058823,166.48670588235294,0.0,0.0,0.0,0.0,150.0796862745098,216.29313725490195,47.3864705882353,275.0821176470588,91.97129411764703,251.5878823529412,1
137,3,6,CHI,GB,104,,,,,,,,,,,,,,,,,,,1
138,1,11,BUF,MIA,99,,,,,,,,,,,,,,,,,,,1
139,2,10,KC,KC,64,0.8152232143708638,0.5537401397760704,10.0,8.200791313761261,0.0,0.0,91.81017857142857,149.43607142857144,99.68214285714284,153.89901785714284,0.0,0.0,90.3777976190476,134.24244047619047,86.53196428571427,270.80883928571427,93.454375,155.35625000000002,0
142,3,1,TB,TB,91,,,,,,,,,,,,,,,,,,,1
147,2,5,LV,LAC,92,0.5405582524271845,0.4093950387114207,10.0,6.991515880609533,254.18398058252427,189.5118446601942,266.2930097087379,163.6861165048544,0.0,0.0,0.0,0.0,252.24038834951455,96.35271844660194,257.75466019417473,186.1228155339806,256.7739805825243,78.66262135922331,1
151,2,9,NYJ,NYJ,84,0.6469689542483661,0.4915930814767023,10.0,9.210804998862384,113.62392156862744,134.8225,87.77813725490196,154.72558823529408,0.0,0.0,0.0,0.0,119.57303921568628,196.8133823529412,99.73985294117648,237.9492647058824,98.97210784313724,177.0755392156863,1
154,1,10,GB,NE,68,0.4935618279569893,0.5558227167399635,9.0,9.42298376963392,248.2514516129032,232.73161290322585,267.5741935483871,185.54512096774195,0.0,0.0,0.0,0.0,263.9048655913979,176.89005376344087,0.0,0.0,264.5520967741935,171.4920161290323,1
156,1,10,NE,PIT,93,,,,,,,,,,,,,,,,,,,1
157,1,10,SEA,ATL,80,,,,,,,,,,,,,,,,,,,0
158,2,3,MIA,NE,67,0.6962305295950156,0.4872166320258193,10.0,6.708731341317995,251.94915887850468,182.45850467289725,271.26808411214955,169.628738317757,0.0,0.0,0.0,0.0,252.5989719626168,136.95778816199376,0.0,0.0,267.2242056074767,137.64401869158877,1
160,1,10,PIT,PIT,83,0.6422094801160584,0.5774240282792414,10.0,10.775077568298986,61.959908256880745,181.6833027522936,0.0,0.0,83.44743119266056,140.51142201834864,0.0,0.0,98.62840978593272,180.3923241590214,108.81431192660553,141.96889908256878,112.26633027522936,259.51532110091745,0
169,3,8,WAS,WAS,86,0.5860666666256884,0.6470262078664972,9.0,9.3044572270063,91.50241666666666,138.44303333333335,97.9737,141.12906666666666,0.0,0.0,0.0,0.0,98.6814,204.86042222222224,98.71416666666669,232.00583333333333,0.0,0.0,0
172,3,13,LAC,KC,86,,,,,,,,,,,,,,,,,,,1
174,1,10,BUF,BAL,67,0.2943055555555555,0.280932429586454,9.0,11.460354130716471,251.27208333333337,226.4445138888889,278.47499999999997,269.075,0.0,0.0,0.0,0.0,260.1384722222222,224.95958333333337,261.5073611111111,80.28652777777778,258.57284722222226,140.73798611111113,0
177,1,10,TEN,TEN,72,,,,,,,,,,,,,,,,,,,0
183,1,10,IND,IND,66,,,,,,,,,,,,,,,,,,,1
184,2,8,DAL,DAL,83,0.4398958333302289,0.531989418512312,9.0,8.326205433569756,81.11708333333334,151.67173611111113,84.5586111111111,159.38229166666667,0.0,0.0,0.0,0.0,96.04979166666666,224.25868055555551,0.0,0.0,93.5761111111111,218.82777777777775,1
189,1,10,TB,TB,87,,,,,,,,,,,,,,,,,,,1
190,3,1,ATL,LA,97,,,,,,,,,,,,,,,,,,,1
191,2,10,IND,IND,80,0.799931271369425,0.4503376179697759,11.0,7.110401566446445,107.89927835051546,179.3321649484536,63.85835051546392,198.41762886597937,0.0,0.0,0.0,0.0,99.04185567010308,218.48604810996565,126.4978350515464,297.5080412371134,100.51515463917524,232.2673195876289,0
195,1,10,MIN,DET,90,,,,,,,,,,,,,,,,,,,0
196,1,10,HOU,HOU,78,0.3283477842003853,0.4447685429061134,8.0,7.524146035556124,213.6565895953757,130.1194797687861,89.82046242774565,173.81910404624278,0.0,0.0,0.0,0.0,94.62423892100192,192.6815992292871,84.18115606936415,122.77560693641618,80.68803468208093,231.68630057803463,1
202,1,7,LV,DEN,103,0.5479106280213033,0.5451279232776698,10.0,6.150833073209861,214.33840579710144,201.8008695652174,283.29086956521735,238.52137681159425,0.0,0.0,0.0,0.0,261.60028985507245,163.66289855072463,273.53514492753624,205.2017391304348,0.0,0.0,0
204,2,7,CLE,CLE,67,0.6899242424049387,0.55174334863999,7.0,8.643463891679865,100.20468181818184,143.3660909090909,80.9659090909091,170.0955909090909,0.0,0.0,0.0,0.0,84.66078787878787,220.2850909090909,93.09236363636364,250.51963636363635,83.04063636363634,149.77645454545456,0
206,1,10,LA,ARI,71,,,,,,,,,,,,,,,,,,,0
215,3,15,CHI,CHI,100,,,,,,,,,,,,,,,,,,,1
231,1,10,SF,SF,100,,,,,,,,,,,,,,,,,,,1
233,1,10,NO,NO,85,0.6865964912280702,0.5064070554732267,9.0,8.941599795349122,78.99678947368423,153.0747894736842,86.17031578947368,209.909,0.0,0.0,0.0,0.0,89.37364912280701,167.9202456140351,75.598,246.99494736842107,92.99221052631582,159.91252631578948,0
235,1,10,NO,CAR,92,,,,,,,,,,,,,,,,,,,1
242,3,11,TB,TB,77,,,,,,,,,,,,,,,,,,,1
245,3,3,DAL,DAL,93,0.2689788732394366,0.4226421370253417,10.0,8.05721950249528,96.68352112676055,136.06915492957745,94.86542253521128,151.58042253521126,0.0,0.0,0.0,0.0,75.11917840375588,216.85805164319248,97.91207746478872,190.7817605633803,0.0,0.0,1
254,2,5,ARI,ARI,94,,,,,,,,,,,,,,,,,,,0
256,3,12,BAL,BAL,82,,,,,,,,,,,,,,,,,,,1
257,2,13,LV,TEN,76,,,,,,,,,,,,,,,,,,,1
259,1,10,ATL,CLE,79,0.6706888888888889,0.5928310444580112,11.0,6.607530163527748,259.1055666666666,210.24193333333335,0.0,0.0,230.28793333333337,177.09273333333337,0.0,0.0,273.27656666666667,151.5297666666667,267.7252,131.04893333333334,0.0,0.0,1
260,4,2,DAL,DAL,66,,,,,,,,,,,,,,,,,,,0
261,3,11,JAX,LAC,99,,,,,,,,,,,,,,,,,,,0
266,1,10,HOU,HOU,84,0.6528402777777778,0.5733698676466064,9.0,6.913336272095452,98.85945833333332,171.37720833333333,102.623,173.302875,0.0,0.0,0.0,0.0,61.26745833333334,179.36833333333334,94.907375,204.5115,0.0,0.0,0
269,1,10,ARI,CAR,100,0.3504366987179487,0.5071177129725587,10.0,6.427741915334961,263.85866987179486,202.7432371794872,255.9348798076923,198.5621875,0.0,0.0,0.0,0.0,257.5814903846154,193.60490384615383,0.0,0.0,277.37514423076925,181.38694711538463,0
276,1,10,KC,TB,100,1.1025897436003462,0.8068227956551556,11.0,6.983006049455654,251.049,216.1796923076923,260.96138461538465,154.68253846153848,0.0,0.0,0.0,0.0,195.12438461538463,227.00884615384615,0.0,0.0,272.9858461538462,167.57661538461537,0
281,1,15,PIT,NE,86,,,,,,,,,,,,,,,,,,,1
282,3,1,TB,NO,84,,,,,,,,,,,,,,,,,,,1
283,2,4,LV,,60,,,,,,,,,,,,,,,,,,,0
284,3,8,MIN,MIN,82,,,,,,,,,,,,,,,,,,,1
286,3,12,SEA,DEN,62,0.4309693877551019,0.3106310043930967,8.0,4.967296524289094,278.754081632653,323.93183673469383,293.0281632653061,201.33632653061224,0.0,0.0,0.0,0.0,216.33204081632655,169.30275510204083,243.7548979591837,243.88204081632657,298.0979591836735,163.0987755102041,1
287,2,10,CLE,LAC,75,0.8605434785070627,0.443041844218829,8.0,10.0629673309636,0.0,0.0,261.61,237.22304347826088,0.0,0.0,0.0,0.0,247.80318840579713,153.67913043478256,274.0300000000001,174.4804347826087,0.0,0.0,1
288,1,10,IND,IND,69,0.5537790697657091,0.4574118721856792,11.0,6.919049873113033,110.61802325581397,187.85232558139535,102.66728682170542,202.0089147286822,0.0,0.0,0.0,0.0,93.0858527131783,253.6875968992248,104.425503875969,206.71031007751935,95.71108527131784,202.92542635658913,0
303,2,5,HOU,HOU,84,0.6365501791854324,0.5757688752739702,10.0,6.719077436360943,103.6245698924731,184.76666666666665,0.0,0.0,79.76258064516128,136.62806451612903,0.0,0.0,75.88709677419354,149.46763440860212,99.40204301075268,142.23591397849464,92.2751612903226,256.9701075268817,0
304,2,9,DAL,DAL,73,,,,,,,,,,,,,,,,,,,0
305,2,10,NE,NE,84,0.4542316017228933,0.5454235882199625,10.0,8.351661434376467,82.92655844155843,144.57746753246752,97.2725974025974,134.40772727272727,0.0,0.0,0.0,0.0,89.37993506493505,209.8274675324675,97.76974025974027,245.45714285714288,269.6414285714285,113.96246753246754,0
307,1,10,NYJ,NYJ,93,0.5628114478114478,0.4123288603902331,9.0,8.916607747418123,103.02171717171716,130.1772222222222,89.60752525252524,164.19888888888886,0.0,0.0,0.0,0.0,83.66560606060607,122.92232323232324,114.01040404040404,289.6348484848485,86.33,171.31676767676768,1
312,2,13,CLE,LAC,95,0.5230794702013892,0.3955767743157347,10.0,8.960526301052202,248.8724503311258,209.86403973509937,262.54609271523174,194.2001986754967,0.0,0.0,0.0,0.0,253.00827814569536,175.810353200883,248.62440397350997,158.25774834437084,0.0,0.0,0
317,2,14,NO,NO,74,0.6657492354740062,0.3582174372032454,10.0,9.030825305294163,92.982752293578,145.50353211009175,88.95266055045872,170.04389908256877,0.0,0.0,0.0,0.0,112.02030581039756,220.39400611620795,101.82,241.9715596330275,112.8738532110092,251.35889908256885,1
322,2,15,PIT,NE,86,,,,,,,,,,,,,,,,,,,0
329,1,10,LV,TEN,85,,,,,,,,,,,,,,,,,,,0
334,3,20,MIA,MIA,74,0.527145061728395,0.5308668008781113,6.0,12.069408860641005,92.71231481481482,226.2857407407408,72.98824074074072,132.27259259259264,0.0,0.0,0.0,0.0,99.96234567901234,213.6828703703704,94.23893518518518,163.29944444444442,0.0,0.0,1
342,2,12,BUF,MIA,91,,,,,,,,,,,,,,,,,,,0
346,3,16,TB,TB,103,1.5834374999604188,0.5498178227593989,6.0,9.617597724059662,68.38999999999999,82.276875,122.07666666666664,135.74458333333334,0.0,0.0,0.0,0.0,66.05125,86.59666666666665,49.47125,12.14625,20.317500000000003,258.05625,1
348,2,9,SEA,SEA,89,0.6250634057971014,0.4828587128346852,10.0,7.534327051354942,75.13293478260869,142.5980434782609,0.0,0.0,90.14510869565218,162.3644565217391,0.0,0.0,102.09938405797102,183.52971014492752,0.0,0.0,98.67135869565216,209.1045108695652,0
352,2,4,HOU,HOU,78,0.5671439393939394,0.3234905975289558,10.0,8.629843902268254,116.66709090909092,190.77354545454543,78.99149999999999,174.18300000000002,0.0,0.0,0.0,0.0,100.27327272727273,208.47872727272727,82.42377272727272,203.432,0.0,0.0,1
353,4,1,SF,SEA,99,,,,,,,,,,,,,,,,,,,0
354,2,10,DET,PHI,68,0.490406746031746,0.6089298555769302,7.0,10.786216554379749,0.0,0.0,278.32696428571427,262.5091666666666,0.0,0.0,0.0,0.0,268.7856746031746,210.90011904761903,270.65749999999997,148.64029761904763,0.0,0.0,0
356,4,1,CAR,SF,76,0.90806451607816,0.5428997786537683,10.0,6.669553745259292,0.0,0.0,233.8382258064516,237.46741935483868,0.0,0.0,0.0,0.0,277.08774193548385,227.72860215053765,211.90161290322575,103.43612903225808,279.8048387096773,299.43741935483865,0
363,2,1,LV,ARI,109,,,,,,,,,,,,,,,,,,,1
364,1,10,PIT,CIN,76,0.4067549019607843,0.3401393707148931,8.0,9.362058149455072,272.3177647058824,242.13094117647063,258.64623529411773,204.97223529411764,0.0,0.0,0.0,0.0,277.72423529411765,183.2370196078431,279.915294117647,87.2750588235294,258.59811764705876,149.02164705882353,0
366,2,6,HOU,HOU,81,,,,,,,,,,,,,,,,,,,1
373,2,10,SEA,DET,62,0.4669067796603066,0.4138990743499983,11.0,8.877371888009494,0.0,0.0,264.45726694915254,187.28135593220335,0.0,0.0,0.0,0.0,270.1651412429378,167.32569209039548,0.0,0.0,267.06906779661017,147.4752966101695,0
379,3,3,NE,MIA,80,0.5808173076966061,0.4771792131636597,10.0,7.370047027899977,228.8575,232.00548076923076,282.27697115384615,197.19302884615385,0.0,0.0,0.0,0.0,247.03485576923077,185.6270673076923,199.37461538461537,140.19000000000003,101.82480769230769,249.87471153846155,1
380,3,5,JAX,JAX,82,0.6225940860343236,0.3648996506947529,7.0,8.101191854721788,113.1933870967742,111.30129032258066,91.43967741935484,131.01725806451614,0.0,0.0,95.0032258064516,141.22741935483876,85.06225806451612,184.31317204301075,101.2600806451613,140.1472580645161,88.13161290322576,183.60838709677415,1
381,2,1,LV,LV,85,0.4543707482993198,0.5247534002376116,9.0,7.661543154173228,81.75454081632653,178.240306122449,96.4535714285714,178.26775510204084,0.0,0.0,0.0,0.0,101.93709183673472,128.8376020408163,91.86928571428572,222.3007142857143,82.26928571428572,269.14469387755105,1
387,1,10,SF,SF,69,0.4526866665199895,0.4479850316454924,7.0,8.40313877190008,80.78544,134.38344,63.26224000000001,222.34584000000004,0.0,0.0,0.0,0.0,89.47748000000001,235.4462,92.43616,199.71876,0.0,0.0,1
395,1,10,CLE,CAR,86,0.602856125326461,0.5448009954589107,9.0,8.471325169234918,286.63217948717954,237.1132905982906,253.5771794871795,209.12850427350423,0.0,0.0,0.0,0.0,189.57414529914533,156.87726495726494,0.0,0.0,260.112678062678,191.3723076923077,0
396,1,10,NYG,NYG,90,,,,,,,,,,,,,,,,,,,1
397,1,10,ARI,ARI,85,0.3631954887218045,0.35844706778852,10.0,9.93202458926905,96.52676691729322,104.80676691729325,76.46827067669172,150.02443609022558,0.0,0.0,60.13586466165413,127.62240601503758,105.73075187969924,182.34431077694236,73.62026315789473,205.5704135338346,0.0,0.0,1
401,3,4,DET,DET,76,0.547903469084828,0.5411483795674007,11.0,9.341133786285852,139.5797737556561,188.2924886877828,113.99479638009048,169.10264705882355,0.0,0.0,88.77135746606335,140.25058823529412,98.47235294117648,195.4204826546003,97.01257918552038,218.86755656108596,0.0,0.0,0
408,2,5,NYJ,BAL,83,0.4930833333333333,0.6301792219545176,9.0,9.157986520465313,263.0887777777778,221.2647777777778,273.99305555555554,189.80033333333333,0.0,0.0,0.0,0.0,255.2798888888888,208.34388888888893,281.4823333333334,153.6391111111111,289.8711666666667,156.7356111111111,1
409,3,8,TEN,TEN,104,0.652652116388664,0.549838029209327,10.0,10.06508720269699,0.0,0.0,90.15841269841272,112.40206349206348,0.0,0.0,0.0,0.0,66.86031746031745,164.4412962962963,105.47587301587302,132.7684126984127,79.67920634920637,235.58444444444447,1
411,3,10,NYG,DAL,81,,,,,,,,,,,,,,,,,,,1
412,1,10,NYJ,NYJ,100,,,,,,,,,,,,,,,,,,,0
416,1,10,LAC,KC,83,,,,,,,,,,,,,,,,,,,0
417,3,7,IND,IND,82,0.5077439024390243,0.4514302320458828,8.0,9.781297061311989,100.36838414634148,142.50865853658536,89.27317073170731,113.4859756097561,0.0,0.0,0.0,0.0,102.28149390243902,201.04510670731707,95.3021951219512,227.97539634146335,0.0,0.0,1
422,1,10,CAR,CAR,85,0.5867663043719865,0.3638727145968827,10.0,9.278664280553247,0.0,0.0,83.85826086956521,163.14190217391305,0.0,0.0,0.0,0.0,101.17894927536231,198.67989130434785,98.52891304347828,145.65391304347827,79.82271739130434,253.4902173913044,1
423,1,10,PIT,NE,70,,,,,,,,,,,,,,,,,,,1
425,2,10,NO,NO,67,,,,,,,,,,,,,,,,,,,0
427,4,1,IND,KC,61,,,,,,,,,,,,,,,,,,,1
430,2,10,TB,ATL,78,0.6023969071925557,0.4107246593639336,10.0,7.955721835230059,258.7718556701031,198.07417525773195,247.0983505154639,190.8909793814433,0.0,0.0,0.0,0.0,233.8777319587629,142.45881443298967,216.5947422680412,229.14237113402064,244.99381443298967,101.67670103092784,0
432,2,11,JAX,JAX,95,,,,,,,,,,,,,,,,,,,1
438,2,6,ATL,LA,99,,,,,,,,,,,,,,,,,,,0
452,1,10,BAL,NE,92,,,,,,,,,,,,,,,,,,,0
457,1,10,IND,IND,85,0.5321940104166667,0.4411234354632217,9.0,7.284265390789857,85.71953124999999,164.0152734375,91.67453125,179.693046875,0.0,0.0,0.0,0.0,88.58472656250001,193.2321875,69.55835937500001,146.94343750000002,107.60328125,192.7609375,1
458,3,1,DAL,WAS,85,0.335652454801491,0.5099670920778374,10.0,7.567720108798928,284.66248062015507,172.35775193798452,269.82155038759686,213.5468992248062,0.0,0.0,0.0,0.0,256.0988372093023,239.6433850129199,284.5616279069767,205.3523643410853,0.0,0.0,0
459,1,10,CIN,CIN,74,0.3342894736507482,0.3867849885164861,7.0,12.566399158647446,101.62931578947368,132.82905263157895,100.50157894736844,202.8633157894737,0.0,0.0,0.0,0.0,76.92091228070177,204.33133333333336,0.0,0.0,269.6270526315789,217.14757894736843,0
460,1,10,SF,CHI,94,0.4826366120878647,0.4170332729894991,8.0,8.538381798938993,280.0498360655738,188.61766393442625,262.3216393442623,237.03368852459016,0.0,0.0,0.0,0.0,265.99718579234974,196.95016393442623,243.4206557377049,193.76991803278685,279.0300819672131,167.35852459016394,0
463,1,10,NO,NO,89,0.7913020833333333,0.560859420954885,11.0,7.355500766126353,96.46375,184.0603125,129.6853125,183.51010416666668,73.5209375,163.88635416666668,0.0,0.0,86.49423611111112,225.4640625,112.10385416666668,144.90072916666668,85.86427083333335,276.0542708333333,1
464,3,4,TB,TB,62,0.4710590277777778,0.4907000317195369,11.0,7.078493296680749,111.13583333333334,164.783125,0.0,0.0,0.0,0.0,0.0,0.0,91.18127314814814,157.9816898148148,148.10326388888888,145.85847222222222,110.16923611111112,181.78083333333333,1
469,1,10,ATL,ATL,85,0.4597599997324745,0.3813455757236579,10.0,8.711775709994948,143.67492,164.9916,0.0,0.0,92.68239999999996,191.35920000000004,0.0,0.0,115.47472,218.08992,82.68260000000001,216.41712,0.0,0.0,0
478,2,10,TEN,BUF,99,,,,,,,,,,,,,,,,,,,1
481,2,3,CIN,PIT,107,0.3930642361111112,0.5218027000002777,11.0,9.745429700038745,277.10979166666664,226.2,281.14328125000003,183.61421874999996,0.0,0.0,0.0,0.0,264.90743055555555,205.5013888888889,0.0,0.0,110.84770833333332,253.4627604166667,1
483,3,3,NE,NE,101,1.0318470788575531,0.5923141298374647,11.0,8.134931291019104,89.34118556701033,138.20211340206183,135.13201030927834,177.67247422680413,0.0,0.0,0.0,0.0,100.52494845360826,183.7318556701031,123.52278350515464,308.4031958762887,119.6157731958763,253.37443298969072,1
487,1,10,ATL,ATL,96,0.4006278538812786,0.4636743558623979,8.0,8.593391615391347,119.87308219178082,108.45465753424658,0.0,0.0,76.12054794520549,99.39931506849317,0.0,0.0,150.38061643835616,217.73363013698628,101.48205479452056,201.9588356164383,0.0,0.0,0
488,1,10,NO,ATL,61,0.7054787234042553,0.459610183896415,8.0,11.619731310937937,280.4545744680851,232.54744680851064,274.7474468085106,192.4845744680851,0.0,0.0,0.0,0.0,275.6182624113475,184.18035460992908,236.856170212766,124.43872340425531,262.5106382978723,174.946170212766,0
493,1,14,BAL,BAL,107,0.5127836877420043,1.268158342272989,9.0,9.149269941734072,106.9220744680851,140.23303191489362,98.1247872340426,135.03319148936168,0.0,0.0,0.0,0.0,121.75925531914896,193.9647340425532,97.85765957446807,210.12143617021275,0.0,0.0,0
497,2,8,CLE,ATL,69,0.6043181819584446,0.6113569315834327,9.0,8.615173547914926,262.5545075757576,216.15738636363633,258.9361742424242,218.07393939393936,0.0,0.0,0.0,0.0,263.80833333333334,158.4704166666667,252.86083333333335,211.2463636363636,277.0194696969696,182.97431818181815,0
499,2,12,CAR,NYG,83,,,,,,,,,,,,,,,,,,,0
501,1,10,CAR,NYG,96,,,,,,,,,,,,,,,,,,,1
503,1,10,HOU,JAX,83,0.69974043715847,0.5901167914182525,9.0,5.9700219542853805,269.502868852459,210.937131147541,272.523825136612,219.84754098360656,0.0,0.0,0.0,0.0,242.8911475409836,249.83459016393448,275.71606557377055,107.5366393442623,0.0,0.0,0
